episode,episode_reward,success,cumulative_reward,moving_average_reward,epsilon,episode_length
37.0,-1.9000000000000004,0.0,-60.30000000000001,-1.62972972972973,0.9816655328642288,43.0
38.0,-1.15,0.0,-61.45000000000001,-1.617105263157895,0.9811747000977967,12.0
39.0,-1.5,0.0,-62.95000000000001,-1.6141025641025644,0.9806841127477479,27.0
40.0,0.15999999999999948,1.0,-62.79000000000001,-1.5697500000000004,0.9801937706913741,49.0
41.0,-1.14,0.0,-63.930000000000014,-1.559268292682927,0.9797036738060285,11.0
42.0,-1.36,0.0,-65.29000000000002,-1.55452380952381,0.9792138219691255,21.0
43.0,-1.7300000000000002,0.0,-67.02000000000002,-1.5586046511627913,0.978724215058141,26.0
44.0,-1.1,0.0,-68.12000000000002,-1.5481818181818185,0.978234852950612,7.0
45.0,-1.2400000000000002,0.0,-69.36000000000001,-1.5413333333333337,0.9777457355241367,17.0
46.0,-1.9500000000000006,0.0,-71.31000000000002,-1.5502173913043482,0.9772568626563747,60.0
47.0,-1.17,0.0,-72.48000000000002,-1.5421276595744684,0.9767682342250465,14.0
48.0,-1.1600000000000001,0.0,-73.64000000000001,-1.534166666666667,0.976279850107934,9.0
49.0,-1.15,0.0,-74.79000000000002,-1.5263265306122453,0.9757917101828801,8.0
50.0,-1.6900000000000004,0.0,-76.48000000000002,-1.5296000000000003,0.9753038143277888,50.0
51.0,-1.9100000000000004,0.0,-78.39000000000001,-1.537058823529412,0.974816162420625,56.0
52.0,-2.720000000000001,0.0,-81.11000000000001,-1.5598076923076927,0.9743287543394147,93.0
53.0,-3.7199999999999913,0.0,-84.83,-1.600566037735849,0.973841589962245,153.0
54.0,-1.5100000000000002,0.0,-86.34,-1.598888888888889,0.973354669167264,32.0
55.0,-1.21,0.0,-87.55,-1.5918181818181818,0.9728679918326804,10.0
56.0,-1.9100000000000006,0.0,-89.46,-1.5975,0.972381557836764,56.0
57.0,-2.4700000000000006,0.0,-91.92999999999999,-1.6128070175438596,0.9718953670578457,84.0
58.0,-1.8400000000000003,0.0,-93.77,-1.6167241379310344,0.9714094193743169,37.0
59.0,-1.18,0.0,-94.95,-1.6093220338983052,0.9709237146646298,19.0
60.0,-1.52,0.0,-96.47,-1.6078333333333332,0.9704382528072976,25.0
61.0,-2.1200000000000006,0.0,-98.59,-1.6162295081967213,0.9699530336808939,49.0
62.0,-1.1199999999999999,0.0,-99.71000000000001,-1.608225806451613,0.9694680571640535,9.0
63.0,-2.870000000000001,0.0,-102.58000000000001,-1.6282539682539685,0.9689833231354715,120.0
64.0,-1.37,0.0,-103.95000000000002,-1.6242187500000003,0.9684988314739038,26.0
65.0,-1.22,0.0,-105.17000000000002,-1.6180000000000003,0.9680145820581669,15.0
66.0,-1.7300000000000002,0.0,-106.90000000000002,-1.61969696969697,0.9675305747671379,42.0
67.0,-1.7300000000000002,0.0,-108.63000000000002,-1.62134328358209,0.9670468094797544,34.0
68.0,-1.19,0.0,-109.82000000000002,-1.6150000000000002,0.9665632860750146,12.0
